TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,Quantity,PaymentMethod
1,2025-05-04,1034,2059,402,0.0,2048.2,2,Visa
2,2025-05-04,1066,2048,403,1.0,321.87,1,Visa
3,2025-05-04,1116,2041,403,3.0,3216.84,2,ApplePay
4,2025-05-04,1071,2096,404,2.0,1613.23,5,Visa
5,2025-05-04,1020,2060,401,0.0,408.38,2,Visa
6,2025-05-04,1089,2028,401,0.0,1275.88,3,Mastercard
7,2025-05-04,1193,2003,402,1.0,346.66,2,GooglePay
8,2025-05-04,1005,2079,402,1.0,855.49,3,ApplePay
9,2025-05-04,1032,2060,401,1.0,735.08,1,ApplePay
10,2025-05-04,1119,2089,403,2.0,661.63,2,Mastercard
11,2025-05-04,1042,2077,401,0.0,505.65,1,Cash
12,2025-05-04,1079,2013,401,2.0,0.0,2,Mastercard
13,2025-05-04,1147,2086,404,3.0,4470.5,1,Visa
14,2025-05-04,1183,2025,401,1.0,503.32,1,Amex
15,2025-05-04,1026,2089,403,0.0,413.52,1,Discover
16,2025-05-04,1144,2005,403,3.0,1715.12,2,Mastercard
17,2025-05-04,1169,2047,401,2.0,535.97,1,Mastercard
18,2025-05-04,1003,2053,404,0.0,3660.52,<NA>,Visa
19,2025-05-04,1110,2046,404,1.0,30.09,1,Visa
20,2025-05-04,1111,2022,403,3.0,671.18,1,Visa
21,2025-05-04,1119,2055,403,2.0,<NA>,2,GooglePay
22,2025-05-04,1062,2011,403,3.0,1229.22,1,ApplePay
23,2025-05-04,1062,2096,404,3.0,672.18,1,ApplePay
24,2025-05-04,1086,2003,404,2.0,924.43,<NA>,Cash
25,2025-05-04,1046,2062,402,2.0,1981.95,1,<NA>
26,2025-05-04,1066,2043,403,2.0,698.76,1,GooglePay
27,2025-05-04,1142,2001,402,0.0,1237.05,3,PayPal
28,2025-05-04,1061,2092,404,3.0,482.21,1,ApplePay
29,2025-05-04,1142,2097,402,3.0,4210.5,3,<NA>
30,2025-05-04,1165,2091,404,3.0,4528.95,1,ApplePay
31,2023-13-01,1004,2011,403,1.0,737.53,4,Discover
32,2025-05-04,1103,2088,402,2.0,0.0,2,PayPal
33,2025-05-04,1169,2074,403,3.0,0.0,5,GooglePay
34,2025-05-04,1141,2067,403,3.0,872.85,3,GooglePay
35,2025-05-04,1190,2070,403,2.0,54.69,3,Mastercard
36,2025-05-04,1179,2058,403,2.0,1066.8,1,Mastercard
37,2025-05-04,1064,2029,401,1.0,12.57,<NA>,Amex
38,2025-05-04,1080,2015,402,1.0,3037.36,3,Discover
39,2025-05-04,1055,2094,404,2.0,1578.72,1,ApplePay
40,2025-05-04,1185,2075,403,0.0,0.0,1,Mastercard
41,2025-05-04,9999,2037,402,2.0,288.11,<NA>,Amex
42,2025-05-04,1045,2038,401,1.0,1667.72,5,ApplePay
43,2025-05-04,1070,2005,401,2.0,686.05,3,Amex
44,2025-05-04,1178,2016,404,0.0,0.0,3,PayPal
45,2025-05-04,1003,2073,403,3.0,1498.29,1,<NA>
46,2025-05-04,1122,2056,403,1.0,944.5,2,Mastercard
47,2025-05-04,1013,2032,404,0.0,2836.8,2,Discover
48,2025-05-04,1016,2051,404,0.0,117.32,2,GooglePay
49,2025-05-04,1147,2080,401,1.0,0.0,1,Visa
50,2025-05-04,1038,2072,403,0.0,840.6,2,Visa
51,2025-05-04,1063,2015,404,1.0,1214.95,4,Mastercard
52,2025-05-04,1198,2066,404,3.0,516.06,2,Visa
53,2025-05-04,1113,2038,404,2.0,2223.62,4,Visa
